Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2022,County,Santa Barbara,Fire,Fire Captain Shift,FALSE,FALSE,,80850,97402,,118786,357724,0,23550,500060,54819,0,0,21063,75882,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Fire Captain Shift,FALSE,FALSE,,80850,97402,,134224,304411,0,23800,462435,56974,0,0,0,56974,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,County Executive Office,County Executive Officer,FALSE,FALSE,,0,0,,313724,0,0,7800,321524,48382,0,5000,12096,65478,2% @ 57,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Fire Captain Staff,FALSE,FALSE,,113196,136367,,116141,179808,0,24616,320565,51704,0,0,13878,65582,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Fire Captain Shift,FALSE,FALSE,,80850,97402,,116899,178339,0,23550,318788,54849,0,0,27663,82512,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Sheriff,Forensic Pathologist,FALSE,FALSE,,284274,324734,,300531,0,0,14456,314987,11282,0,0,12392,23674,N/A,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Behavioral Wellness,Psychiatrist,FALSE,FALSE,,257296,294016,,267672,0,0,44694,312366,11282,0,0,15764,27046,N/A,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Fire Captain Shift,FALSE,FALSE,,80850,97402,,120982,161278,0,10988,293248,47111,0,0,12802,59913,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Behavioral Wellness,Assistant Department Leader-Psychiatrist,FALSE,FALSE,,218263,324320,,289826,0,0,2434,292260,65687,0,0,12096,77783,2% @ 57,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Fire Captain Shift,FALSE,FALSE,,80850,97402,,122083,142578,0,22692,287353,51147,0,0,12596,63743,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Behavioral Wellness,Staff Physician,FALSE,FALSE,,224846,256784,,220604,15379,0,51301,287284,61307,0,0,12016,73323,2% @ 57,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
2022,County,Santa Barbara,Fire,Team/Project Leader-Battalion Chief Staff,FALSE,FALSE,,125936,184623,,137293,118374,0,28914,284581,62892,0,375,29310,92577,3% @ 55,https://www.countyofsb.org/225/Human-Resources,440557,6/27/2023,Santa Barbara,,TRUE,
