DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,TotalWages,DefinedBenefitPlanContribution,HealthDentalVision,TotalRetirementAndHealthContribution
Administrative Services,Administrative Specialist,47118,57271,100,0,0,0
Administrative Services,Applications Administrator,87406,106243,112270,8500,15474,23974
Administrative Services,Applications Analyst,79468,96593,109961,7729,15427,23156
Administrative Services,Applications Analyst,79468,96593,107557,7429,601,8030
Administrative Services,Clerical Assistant,29120,29120,468,0,0,6
Administrative Services,Elections Advisor,218400,218400,1549,0,0,20
Administrative Services,Geographic Info Systems Coordinator,97986,119102,122790,9297,12523,21820
Administrative Services,Geographic Info Systems Tech,68835,83669,86259,6531,11720,18251
Administrative Services,Human Resources Technician,64835,78808,17257,0,0,212
Administrative Services,Information Technology Manager,126864,154205,161249,12013,18368,30381
Administrative Services,Information Technology Supervisor,111030,134958,138811,13765,506,14271
Administrative Services,Information Technology Supervisor,112684,136968,182054,10413,0,10413
Administrative Services,Information Technology Tech I,54450,66184,31326,0,0,402
Administrative Services,Information Technology Tech II,59269,72041,63103,6829,30,6859
Administrative Services,Information Technology Tech II,59269,72041,75024,5623,12490,18113
Administrative Services,Information Technology Tech II,59269,72041,72289,8426,12557,20983
Administrative Services,Network Analyst,79468,96593,99583,7540,15036,22576
Administrative Services,Network Analyst,79468,96593,70166,8205,9099,17304
Administrative Services,System Administrator,87406,106243,108776,12310,15036,27346
Administrative Services,Web Services Technician,68835,83669,79087,8653,0,8653
Administrative Services,Webmaster,96050,116750,120364,9113,15036,24149
Airport,Accounting Assistant,53642,65202,14538,369,1293,1662
Airport,Accounting Assistant,53642,65202,39297,4614,4387,9001
Airport,Accounting Coordinator,61989,75349,81019,8885,0,8885
Airport,Administrative Assistant-Conf,62924,76484,78958,8561,12867,21428
Airport,Administrative Specialist,47118,57271,53886,6242,12457,18699
Airport,Administrative Specialist,47118,57271,5536,0,0,72
Airport,Airport Business Dev Manager,116227,141274,165960,16902,0,16902
Airport,Airport Business Dev Supervisor,86086,104639,110005,12815,16826,29641
Airport,Airport Business Manager,106247,129144,117844,8580,0,8580
Airport,Airport Director,159606,194002,220310,17582,12071,29653
Airport,Airport Facilities Manager,112672,136954,153309,10813,9862,20675
Airport,Airport Maintenance Coordinator,60462,73493,70578,5335,15036,20371
